Function,#cycles,n,floats/cycle
mmm, 7757.4653,   32, 8.4481
scalar_mm, 385.5533,   32, 2.6559
onenorm, 654.3226,   32, 3.1300
normest, 11835.6274,   32, 1.1763
eval3_4, 14330.7017,   32, 5.8593
eval3_5, 31476.8756,   32, 7.0919
eval3_6, 68314.3375,   32, 2.3983
mmm, 64295.2511,   64, 8.1544
scalar_mm, 2582.4016,   64, 1.5861
onenorm, 2351.9733,   64, 3.4830
normest, 32766.8636,   64, 1.6037
eval3_4, 93568.0153,   64, 6.3912
eval3_5, 228096.3850,   64, 7.3625
eval3_6, 476677.8308,   64, 2.7497
mmm, 534627.2352,  128, 7.8453
scalar_mm, 14039.0010,  128, 1.1670
onenorm, 10238.1620,  128, 3.2006
normest, 210137.1685,  128, 0.9679
eval3_4, 894050.0276,  128, 5.0212
eval3_5, 2295954.7824,  128, 5.6660
eval3_6, 4334424.8020,  128, 2.4192
mmm, 8382247.0744,  256, 4.0030
scalar_mm, 83181.1919,  256, 0.7879
onenorm, 56941.7205,  256, 2.3019
normest, 1187080.7784,  256, 0.6739
eval3_4, 10099722.5616,  256, 3.4391
eval3_5, 27132187.2448,  256, 3.7729
eval3_6, 49696497.5376,  256, 1.6880
mmm, 60545070.9652,  512, 4.4336
scalar_mm, 331584.3266,  512, 0.7906
onenorm, 219619.9393,  512, 2.3873
normest, 4361915.3928,  512, 0.7274
eval3_4, 68432546.3324,  512, 3.9916
eval3_5, 193898632.6484,  512, 4.1884
eval3_6, 394112918.8084,  512, 1.7028
mmm, 204026589.2604,  768, 4.4404
scalar_mm, 808808.3812,  768, 0.7293
onenorm, 528779.9384,  768, 2.2309
normest, 9840779.7680,  768, 0.7234
eval3_4, 224419705.6912,  768, 4.0843
eval3_5, 641545493.5304,  768, 4.2604
eval3_6, 1274073711.1844,  768, 1.7777
