Function,#cycles,n,floats/cycle
eval3_4, 42838.2649,   32, 1.9601
eval3_5, 116764.2087,   32, 1.9118
eval3_4, 227809.6741,   64, 2.6251
eval3_5, 585838.0228,   64, 2.8666
eval3_4, 1710317.8352,  128, 2.6248
eval3_5, 4286906.3972,  128, 3.0346
eval3_4, 11596283.2600,  256, 2.9953
eval3_5, 30977619.7640,  256, 3.3046
eval3_4, 82094920.1784,  512, 3.3273
eval3_5, 228568896.8696,  512, 3.5531
eval3_4, 266036661.0844,  768, 3.4453
eval3_5, 757390464.0936,  768, 3.6088
